trajectory_name,index,x,y,z
RAMF,1,-30.4242,-22.574,8.00022
RAMF,2,-33.6448,-23.609,8.90322
RAMF,3,-36.8659,-24.6488,9.79746
RAMF,4,-40.0773,-25.6933,10.7053
RAMF,5,-43.298,-26.7283,11.6083
RAMF,6,-46.519,-27.7681,12.5025
RAMF,7,-49.7397,-28.8031,13.4055
RAMF,8,-52.9504,-29.8389,14.3085
RF,1,-32.8354,-32.2212,-0.363547
RF,2,-35.4775,-33.5668,1.4929
RF,3,-38.1286,-34.898,3.35332
RF,4,-40.7707,-36.2436,5.20976
RF,5,-43.4221,-37.5796,7.06141
RF,6,-46.0639,-38.9204,8.92662
RF,7,-48.7153,-40.2564,10.7783
RF,8,-51.357,-41.5972,12.6435
RIPO,1,-5.32777,45.297,-4.31908
RIPO,2,-8.59105,44.2345,-3.63862
RIPO,3,-11.8554,43.1585,-2.96213
RIPO,4,-15.1187,42.096,-2.28168
RIPO,5,-18.3827,41.0248,-1.59642
RIPO,6,-30.0566,37.2205,0.843161
RIPO,7,-33.2433,36.1119,1.53396
RIPO,8,-36.5599,35.0088,2.21617
RIPO,9,-39.8057,33.9137,2.90224
RIPO,10,-43.0526,32.8051,3.58435
RIPO,11,-55.3151,29.0427,6.01596
RIPO,12,-58.5932,28.0455,6.72983
RIPO,13,-61.8716,27.0443,7.45727
RIPO,14,-65.1497,26.0471,8.17115
RIPO,15,-68.4179,25.0491,8.885
RIPR,1,-43.477,2.59904,-0.674213
RIPR,2,-46.9381,3.10098,-0.588593
RIPR,3,-50.3987,3.60772,-0.494204
RIPR,4,-53.8598,4.10966,-0.408584
RIPR,5,-57.3304,4.61718,-0.314181
RIPR,6,-60.7914,5.11912,-0.228561
RIPR,7,-64.2521,5.62585,-0.134172
RIPR,8,-67.7131,6.12779,-0.048552
RMMF,1,-39.7582,-7.01461,4.57062
RMMF,2,-43.0856,-7.87426,5.25717
RMMF,3,-46.4024,-8.72596,5.9389
RMMF,4,-49.7299,-9.58561,6.62545
RMMF,5,-53.0573,-10.4453,7.312
RMMF,6,-56.3741,-11.297,7.99373
RMMF,7,-59.7015,-12.1566,8.68028
RMMF,8,-63.0283,-13.0075,9.36203
RPMF,1,-32.4878,-0.0356395,9.06622
RPMF,2,-35.4375,0.0538766,10.9507
RPMF,3,-38.3767,0.147392,12.844
RPMF,4,-41.3257,0.245651,14.7237
RPMF,5,-44.2749,0.339957,16.617
RPMF,6,-47.2146,0.428683,18.5016
RPMF,7,-50.1638,0.522989,20.3949
RPMF,8,-53.1135,0.612505,22.2794
RPMF,9,-56.0525,0.709974,24.1591
RPMF,10,-59.0017,0.80428,26.0524
RPOp,1,-49.1823,-10.2169,-11.5275
RPOp,2,-52.2765,-10.6802,-9.96177
RPOp,3,-55.3804,-11.1388,-8.40958
RPOp,4,-58.4746,-11.602,-6.84383
RPOp,5,-61.5792,-12.0693,-5.28684
RPOp,6,-64.6734,-12.5326,-3.72109
RPOp,7,-67.7769,-12.9863,-2.16013
RPOp,8,-70.8715,-13.4544,-0.603149
RPOr,1,-49.0675,-21.1189,-21.8959
RPOr,2,-51.9964,-22.0305,-20.2066
RPOr,3,-54.9247,-22.9334,-18.5222
RPOr,4,-57.8537,-23.8451,-16.8329
RPOr,5,-60.7826,-24.7567,-15.1437
RPOr,6,-63.7109,-25.6596,-13.4592
RPOr,7,-66.6399,-26.5713,-11.77
RPOr,8,-69.5688,-27.4829,-10.0807
RPT,1,-41.5264,-17.5694,-1.75248
RPT,2,-44.827,-18.594,-1.2165
RPT,3,-48.138,-19.6226,-0.689275
RPT,4,-51.4386,-20.6472,-0.153292
RPT,5,-54.7391,-21.6718,0.382691
RPT,6,-58.0397,-22.6964,0.918673
RPT,7,-61.3507,-23.725,1.4459
RPT,8,-64.6513,-24.7496,1.98188
RPTI,1,-38.8062,-29.9374,-9.8171
RPTI,2,-41.8361,-31.1028,-8.52068
RPTI,3,-44.8759,-32.2674,-7.22424
RPTI,4,-47.9058,-33.4329,-5.92782
RPTI,5,-50.9463,-34.6063,-4.62657
RPTI,6,-53.9765,-35.7765,-3.33892
RPTI,7,-57.0164,-36.9411,-2.04248
RPTI,8,-60.0462,-38.1066,-0.74606
RSFA,1,-41.2323,-11.9903,-15.0532
RSFA,2,-40.7272,-10.3526,-12.002
RSFA,3,-40.2321,-8.71416,-8.9507
RSFA,4,-39.7277,-7.0852,-5.89464
RSFA,5,-39.2226,-5.44751,-2.84339
RSFA,6,-37.658,0.318488,7.59839
RSFA,7,-37.2848,1.93628,10.6778
RSFA,8,-36.9017,3.55328,13.7572
RSFA,9,-36.5293,5.16233,16.8414
RSFA,10,-36.1461,6.77933,19.9208
RSFA,11,-34.8037,12.5119,31.2688
RSFA,12,-34.4821,13.9842,34.43
RSFA,13,-34.1697,15.4661,37.5864
RSFA,14,-33.8481,16.9384,40.7476
RSFA,15,-33.5369,18.4068,43.9
RSFP,1,-29.4032,28.0628,19.6712
RSFP,2,-29.8491,29.3423,22.8921
RSFP,3,-30.2954,30.6179,26.1266
RSFP,4,-30.7513,31.8982,29.3476
RSFP,5,-31.1976,33.1738,32.5821
RSFP,6,-31.6435,34.4533,35.8031
RSFP,7,-32.0898,35.7288,39.0376
RSFP,8,-32.5457,37.0091,42.2585
RSMG,1,-33.8423,37.242,-10.7906
RSMG,2,-37.0082,37.5215,-9.31949
RSMG,3,-40.1744,37.7963,-7.85718
RSMG,4,-43.3402,38.0759,-6.38609
RSMG,5,-46.5065,38.3506,-4.92378
RSMG,6,-49.6723,38.6302,-3.4527
RSMG,7,-52.8385,38.905,-1.99039
RSMG,8,-56.0044,39.1845,-0.519307
RSMG,9,-59.1706,39.4593,0.943005
RSMG,10,-62.3365,39.7388,2.41409
RSMG,11,-65.5027,40.0136,3.8764
RSMG,12,-68.6685,40.2932,5.34748
RSPO,1,-30.4642,40.9596,14.4529
RSPO,2,-33.231,40.1902,16.4449
RSPO,3,-36.0084,39.4128,18.4418
RSPO,4,-38.7752,38.6434,20.4338
RSPO,5,-41.552,37.8748,22.4258
RSPO,6,-44.3191,37.1015,24.4314
RSPO,7,-47.0859,36.3321,26.4234
RSPO,8,-49.8627,35.5635,28.4155
RSPR,1,-35.0472,12.208,9.7908
RSPR,2,-38.5282,12.2005,10.1328
RSPR,3,-42.0196,12.189,10.466
RSPR,4,-45.4999,12.1902,10.8032
RSPR,5,-48.9814,12.1778,11.1365
RSPR,6,-52.4624,12.1703,11.4785
RSPR,7,-55.9534,12.1635,11.8205
RSPR,8,-59.4348,12.1512,12.1537
RSPR,9,-62.9152,12.1524,12.4909
RSPR,10,-66.3966,12.1401,12.8241
